,0
0,1.467235977690053
1,1.488741701427374
2,1.4638811677177914
3,1.5986233111716437
4,1.229134697695246
5,1.6354382327164174
6,1.1249623787838412
7,1.5379572091800398
8,1.6187081651896627
9,1.3171599165685093
10,1.437263270334035
11,1.5285787329631293
12,1.4703513724520203
13,1.5384366054454557
14,1.3205151160390796
15,1.4617370229217437
16,1.3444782666454624
17,1.3293110782524344
18,1.6108427095373934
19,1.3311513088300495
20,1.0673770279200268
21,1.4186811693673036
22,1.307582931604788
23,1.4030201004773342
24,1.47617480416
25,1.3939276114678103
26,1.6209092103589318
27,1.1846299737425325
28,1.4863307504392087
29,1.3530486375221167
30,1.588306141147286
31,1.747847658220606
32,1.473668703799215
33,1.6580475652229296
34,1.592340774654836
35,1.4354103571762522
36,1.5731816484866399
37,1.5410202778125766
38,1.2536889949922634
39,1.3921594607583536
40,1.4144667081068742
41,1.685887469810729
42,1.5704429660437493
43,1.6359570424178032
44,1.619467752897738
45,2.0336380870872834
46,1.747630761383473
47,1.4638561542638195
48,1.4542214848412132
49,1.4821043426303333
50,1.4091618999748052
51,1.3011044705753692
52,1.2638555216239822
53,1.5398315345490117
54,1.5749094028646788
55,1.4339751559535616
56,1.8634927086848116
57,1.5551259734463556
58,1.3197734136007369
59,1.2585054708996424
60,1.4507063789408854
61,1.667750722082774
62,1.5765786365363317
63,1.4822704225596666
64,1.4152428357574183
65,1.3803472439526128
66,1.378862994086563
67,1.2621928760149306
68,1.4383952623222613
69,1.504468561427708
70,1.8101018511093987
71,1.4612369382355022
72,1.3219441849826454
73,1.502959084509837
74,1.3398168184938932
75,1.4818063796932688
76,1.362387034509727
77,1.6275957744274319
78,1.557298075036246
79,1.2647942397289076
80,1.261689453191701
81,1.3475106490725826
82,1.7237512266429975
83,1.4298052953839941
84,1.5453963997879487
85,1.5859989273759538
86,1.4764380149375882
87,1.4222631548367193
88,1.655301652382614
89,1.4704808312327262
90,1.4994148276495511
91,1.3912660548457216
92,1.439065502488797
93,1.3878368310448879
94,1.3276273873450846
95,1.4272902989638618
96,1.4718199750192675
97,1.607490780702588
98,1.2968812677232746
99,1.489149192211339
100,1.8505272460326083
101,1.416634879200856
102,1.3724512441960794
103,1.479639557491451
104,1.2847166327315367
105,1.6460040529127027
106,1.6391725985906302
107,1.4851465688406558
108,1.2639537302403692
109,1.5141613081754104
110,1.3722627770870561
111,1.4295650488636087
112,1.4733950195298595
113,1.631753753204671
114,1.5635921186072619
115,1.5565460061820697
116,1.6085177588952937
117,1.2656682915171436
118,1.5430474484799654
119,1.673553715307307
120,1.4691656777595834
121,1.3137503462697044
122,1.343631478407802
123,1.6015989659265768
124,1.2456267657085192
125,1.3607494796907855
126,1.272167750141133
127,1.6425930286165966
128,1.3837350237908572
129,1.4728939529184684
130,1.1993574113853487
131,1.5212535484185918
132,1.3103154071156717
133,1.3894302276647403
134,1.5746563490354373
135,1.5745422056122336
136,1.3881946065451702
137,1.3350727413486547
138,1.4164208377359244
139,1.2481758836846184
140,1.5699717312121353
141,1.9259474972199615
142,1.5278781199953242
143,1.3190734008136882
144,1.3550892774925571
145,1.4550206237034857
146,1.2140130299233511
147,1.5255932170736537
148,1.3457322786611232
149,1.4412766757037452
150,1.420410279418705
151,1.3402469099529635
152,1.3701448886708147
153,1.4033198813306633
154,1.1462311847093023
155,1.5354199538610607
156,1.345175164420576
157,1.5526153244487326
158,1.3796263270668776
159,1.448235403683037
160,1.6501854586891571
161,1.6626914875784569
162,1.2880202570831034
163,1.5445143845608729
164,1.3952020239121528
165,1.7401674794768116
166,1.4143485993966385
167,1.4239752572727002
168,1.6804675604613113
169,1.5399405120726792
170,1.5367274503642638
171,1.5736385912621662
172,1.679559169761275
173,1.6377282873505623
174,1.3733812657583866
175,1.6330781727115742
176,1.3869996600680214
177,1.3808671896503408
178,1.489028342120133
179,1.5919114110598576
180,1.5861491584135017
181,1.4835693222960804
182,1.517202956458904
183,1.8095884473724846
184,1.3324182786012337
185,1.9222770564686913
186,1.4143323612146435
187,1.5460186176457362
188,1.3376692972516309
189,1.5637341416631687
190,1.4351735815584898
191,1.3087259785042404
192,1.6289924815408507
193,1.5562877117036555
194,1.6257047278155574
195,1.4635202695660519
196,1.3188937344749125
197,1.6358340177802282
198,76078.39704114615
199,1.469851018043713
200,1.294502439760948
201,1.3151732500512263
202,1.5110650162301362
203,1.5100291674658424
204,1.3246053339104906
205,1.6201762030296718
206,1.3578681323095336
207,1.4815245559348225
208,1.6920462551567825
209,1.7443854138756731
210,1.362860694259861
211,1.459016845429224
212,1.2965578344189186
213,1.283405001175577
214,1.6868022131105154
215,1.6472469224987984
216,1.5708266475994972
217,1.5567505245615008
218,1.482775446561023
219,1.2876955032861053
220,1.6406223672998783
221,1.4884920337862837
222,1.322025356493292
223,1.264976070997658
224,1.3429057808166396
225,1.798529356365578
226,1.82074563877986
227,1.6791932821831832
228,1.4368377882613579
229,1.3514308435076816
230,1.6940743264981928
231,1.3765433875440358
232,1.4402254788428808
233,1.373043176606404
234,1.4636781209035579
235,1.5219179188629117
236,1.5569922839686747
237,1.2575836262824176
238,1.516659296136262
239,1.7919390186846014
240,1.4568455776102538
241,1.679500130216915
242,1.4540712737392871
243,1.4889976958333753
244,1.3375216472753089
245,1.5695072062389854
246,1.2535101163306237
247,1.5318767914598805
248,1.6217883335504364
249,1.3334408631206505
