,0,1,2,3,4,5,6,7,8,9,10
0,9.782964067825402e-05,0.00010300599492438437,3.483143177190732e-05,4.625674703933771e-05,6.00589646918006e-05,5.107525553079598e-05,6.646624979158355e-05,0.00011245840012146924,4.2386022989830434e-05,4.069125133454326e-05,-2.8117179625617055e-06
1,0.00010300599492438437,0.00014117477403135834,4.589124919885354e-05,5.330320787830846e-05,7.452699069649233e-05,6.855250714846894e-05,8.517996755390607e-05,0.00013757327103047475,5.4214690319740654e-05,5.5827516717415315e-05,4.251730270569475e-06
2,3.483143177190732e-05,4.589124919885354e-05,4.003526020848478e-05,3.4504414627809585e-05,3.533604783908049e-05,4.221619366711557e-05,3.630220153868052e-05,4.6231024829834835e-05,2.3270720302239318e-05,3.9944510282891316e-05,2.0587387820894073e-05
3,4.625674703933771e-05,5.330320787830846e-05,3.4504414627809585e-05,8.337219659342404e-05,4.433204505964742e-05,4.176849033175214e-05,4.623938306753498e-05,6.286294764399117e-05,2.879857738917551e-05,2.7864881429015787e-05,7.932924405131702e-06
4,6.00589646918006e-05,7.452699069649233e-05,3.533604783908049e-05,4.433204505964742e-05,6.625867716723384e-05,4.62256300947085e-05,5.776719272706399e-05,8.184394749212413e-05,3.5952268801482704e-05,3.4894217049836236e-05,1.0715022681935203e-05
5,5.107525553079598e-05,6.855250714846894e-05,4.221619366711557e-05,4.176849033175214e-05,4.62256300947085e-05,6.286958380784894e-05,4.95683882240552e-05,7.866114102363591e-05,2.9404978171884663e-05,3.862705768103405e-05,1.845389291500191e-05
6,6.646624979158355e-05,8.517996755390607e-05,3.630220153868052e-05,4.623938306753498e-05,5.776719272706399e-05,4.95683882240552e-05,7.291627803209028e-05,9.260871453127576e-05,4.886630131185731e-05,3.645541000946193e-05,5.621401324242623e-06
7,0.00011245840012146924,0.00013757327103047475,4.6231024829834835e-05,6.286294764399117e-05,8.184394749212413e-05,7.866114102363591e-05,9.260871453127576e-05,0.00016087607545667035,5.723863358065225e-05,4.780061032622643e-05,3.433865398574912e-06
8,4.2386022989830434e-05,5.4214690319740654e-05,2.3270720302239318e-05,2.879857738917551e-05,3.5952268801482704e-05,2.9404978171884663e-05,4.886630131185731e-05,5.723863358065225e-05,4.456037009001165e-05,2.277721069457759e-05,3.156159754627109e-06
9,4.069125133454326e-05,5.5827516717415315e-05,3.9944510282891316e-05,2.7864881429015787e-05,3.4894217049836236e-05,3.862705768103405e-05,3.645541000946193e-05,4.780061032622643e-05,2.277721069457759e-05,6.693773237600862e-05,2.949212030846985e-05
10,-2.8117179625617055e-06,4.251730270569475e-06,2.0587387820894073e-05,7.932924405131702e-06,1.0715022681935203e-05,1.845389291500191e-05,5.621401324242623e-06,3.433865398574912e-06,3.156159754627109e-06,2.949212030846985e-05,3.8030020078821953e-05
