,0,1,2,3,4,5,6,7,8,9,10
0,8.190820677641313e-05,6.895092943648036e-05,3.5808452111338927e-05,7.190721792182638e-05,5.2293951091248844e-05,5.259407350295803e-05,6.116979869935464e-05,6.611111141842034e-05,4.229561723427769e-05,1.8513178342756606e-05,1.8624856238483405e-05
1,6.895092943648036e-05,8.295721526114403e-05,3.25151564218673e-05,7.040559486160109e-05,5.539206196079273e-05,5.436468784483811e-05,6.657258878330229e-05,7.343539268033523e-05,4.306964811196997e-05,1.5336101718011835e-05,1.1634838577374328e-05
2,3.5808452111338927e-05,3.25151564218673e-05,3.8351192561240525e-05,2.7278147761696923e-05,2.601956292111195e-05,2.9430472699692212e-05,3.1570518112490015e-05,2.8555165949762277e-05,2.2791270509680552e-05,1.2403253847630217e-05,2.0720815994177655e-05
3,7.190721792182638e-05,7.040559486160109e-05,2.7278147761696923e-05,0.0001370970747932244,8.164217590221828e-05,6.35509817561397e-05,9.0136343685545e-05,7.522357776531398e-05,6.625706811393886e-05,1.4639170634240698e-05,6.455945302098809e-06
4,5.2293951091248844e-05,5.539206196079273e-05,2.601956292111195e-05,8.164217590221828e-05,8.268881616087355e-05,5.015901635410533e-05,7.409872928453769e-05,6.265846307766097e-05,5.406024691434789e-05,4.059870781968555e-06,6.033356856301688e-06
5,5.259407350295803e-05,5.436468784483811e-05,2.9430472699692212e-05,6.35509817561397e-05,5.015901635410533e-05,6.391111866640514e-05,5.903247606002353e-05,6.199242457714914e-05,4.0548341027473214e-05,1.2495824273526889e-05,1.6665944460210147e-05
6,6.116979869935464e-05,6.657258878330229e-05,3.1570518112490015e-05,9.0136343685545e-05,7.409872928453769e-05,5.903247606002353e-05,9.060464121147827e-05,7.687768025165816e-05,6.135828700697854e-05,1.3813739471797141e-05,1.1649863591016758e-05
7,6.611111141842034e-05,7.343539268033523e-05,2.8555165949762277e-05,7.522357776531398e-05,6.265846307766097e-05,6.199242457714914e-05,7.687768025165816e-05,9.79870548999145e-05,4.885205180793535e-05,6.8873033544697545e-06,9.244049816873696e-06
8,4.229561723427769e-05,4.306964811196997e-05,2.2791270509680552e-05,6.625706811393886e-05,5.406024691434789e-05,4.0548341027473214e-05,6.135828700697854e-05,4.885205180793535e-05,5.786146095909731e-05,5.785593615815147e-06,3.463368784462522e-06
9,1.8513178342756606e-05,1.5336101718011835e-05,1.2403253847630217e-05,1.4639170634240698e-05,4.059870781968555e-06,1.2495824273526889e-05,1.3813739471797141e-05,6.8873033544697545e-06,5.785593615815147e-06,2.740395421813872e-05,1.838436452745284e-05
10,1.8624856238483405e-05,1.1634838577374328e-05,2.0720815994177655e-05,6.455945302098809e-06,6.033356856301688e-06,1.6665944460210147e-05,1.1649863591016758e-05,9.244049816873696e-06,3.463368784462522e-06,1.838436452745284e-05,3.696046861458411e-05
