,0,1,2,3,4,5,6,7,8,9,10
0,0.0001299967283643055,0.00013873939246158417,2.7412039157137894e-05,6.847296998143334e-05,7.605981134589922e-05,7.906001573101803e-05,9.201258856922451e-05,0.00014891372274732952,7.073475585931599e-05,3.466899170713129e-05,-1.953904149060631e-05
1,0.00013873939246158417,0.00018140580017083404,3.80899245669887e-05,7.841216513233381e-05,9.290178063352941e-05,0.00010007551488967414,0.00011395052208438514,0.00017827045967673725,8.535610656414679e-05,4.9582871092465874e-05,-1.3958316010710957e-05
2,2.7412039157137894e-05,3.80899245669887e-05,4.129475780497949e-05,2.818741647676105e-05,3.156270672510758e-05,3.613063294956196e-05,3.131058204502092e-05,3.737482275198332e-05,1.9360490305896887e-05,4.0425193098891864e-05,2.3750031599191933e-05
3,6.847296998143334e-05,7.841216513233381e-05,2.818741647676105e-05,9.674838087812886e-05,5.493686076105738e-05,6.147187812518027e-05,6.513369851805244e-05,8.685752422189847e-05,5.262462889414885e-05,2.1858468334224158e-05,-5.218858906846491e-06
4,7.605981134589922e-05,9.290178063352941e-05,3.156270672510758e-05,5.493686076105738e-05,7.449956246774808e-05,6.057486454574362e-05,7.11500720028008e-05,9.989288674251444e-05,5.113586221790412e-05,3.164004963718759e-05,2.1906711284138225e-06
5,7.906001573101803e-05,0.00010007551488967414,3.613063294956196e-05,6.147187812518027e-05,6.057486454574362e-05,8.755177034484446e-05,7.203517342104938e-05,0.00011057837309401594,5.358060322834739e-05,3.3768714033088196e-05,4.181787529193714e-06
6,9.201258856922451e-05,0.00011395052208438514,3.131058204502092e-05,6.513369851805244e-05,7.11500720028008e-05,7.203517342104938e-05,9.276727463359367e-05,0.0001224084730366847,6.881883280404125e-05,3.288991657413357e-05,-6.64867856056336e-06
7,0.00014891372274732952,0.00017827045967673725,3.737482275198332e-05,8.685752422189847e-05,9.989288674251444e-05,0.00011057837309401594,0.0001224084730366847,0.0002014491228711049,9.182301151800711e-05,4.005893584581395e-05,-1.6186513054181588e-05
8,7.073475585931599e-05,8.535610656414679e-05,1.9360490305896887e-05,5.262462889414885e-05,5.113586221790412e-05,5.358060322834739e-05,6.881883280404125e-05,9.182301151800711e-05,6.0219153517216355e-05,2.13856925629313e-05,-8.346872589945939e-06
9,3.466899170713129e-05,4.9582871092465874e-05,4.0425193098891864e-05,2.1858468334224158e-05,3.164004963718759e-05,3.3768714033088196e-05,3.288991657413357e-05,4.005893584581395e-05,2.13856925629313e-05,6.651383106383437e-05,3.1386546971018026e-05
10,-1.953904149060631e-05,-1.3958316010710957e-05,2.3750031599191933e-05,-5.218858906846491e-06,2.1906711284138225e-06,4.181787529193714e-06,-6.64867856056336e-06,-1.6186513054181588e-05,-8.346872589945939e-06,3.1386546971018026e-05,4.566325086065065e-05
