DATE,Quaterly returns
2004-07-01,0.023130159039327615
2004-10-01,-0.055751121439095795
2005-01-01,0.06317245746280949
2005-04-01,0.018407960581117325
2005-07-01,0.01268215826182645
2005-10-01,0.040718009453811786
2006-01-01,0.07899702647570817
2006-04-01,0.059893224436353976
2006-07-01,-0.038201750463482134
2006-10-01,0.05979481758669224
2007-01-01,0.11349686509253815
2007-04-01,0.17901971044658135
2007-07-01,-0.029712018011444703
2007-10-01,-0.048933439687281206
2008-01-01,-0.013138711007307124
2008-04-01,-0.08362651353106941
2008-07-01,-0.10430979401749416
2008-10-01,-0.08646457982365192
2009-01-01,-0.26134953698422186
2009-04-01,-0.06604471177953224
2009-07-01,0.1455427440429327
2009-10-01,0.2545404753544606
2010-01-01,0.16716445938596947
2010-04-01,0.023848685744937394
2010-07-01,-0.08900002643765842
2010-10-01,0.05290237686304441
2011-01-01,0.06400859780269019
2011-04-01,0.019177185137967113
2011-07-01,0.0361905821566189
2011-10-01,-0.15959620401495378
2012-01-01,0.04998197135827642
2012-04-01,0.11118429848132813
2012-07-01,-0.019240232534281566
2012-10-01,0.060839667815004245
2013-01-01,0.11232121815835924
2013-04-01,0.13133436228321033
2013-07-01,0.0686188280973322
2013-10-01,0.06170882043541447
2014-01-01,0.05115161878840864
2014-04-01,0.03833110183749864
2014-07-01,-0.002731661926710221
2014-10-01,0.03888745896626644
2015-01-01,0.03798955982092203
2015-04-01,0.05043703187367273
2015-07-01,0.0038016313515634986
2015-10-01,-0.05282728685233304
2016-01-01,-0.00804648288222294
2016-04-01,-0.019932223152840035
2016-07-01,0.0511167500959131
2016-10-01,0.1018695956537251
2017-01-01,0.024001557342389575
2017-04-01,0.050185831255994524
2017-07-01,0.003375444163756338
2017-10-01,0.030790193686273233
2018-01-01,0.02165817159360562
2018-04-01,-0.05735872208957966
2018-07-01,0.03612168413144517
2018-10-01,-0.05247312400473115
2019-01-01,-0.10528190924168408
2019-04-01,0.09853872085800192
2019-07-01,0.012829542336745516
2019-10-01,-0.02487123446032311
2020-01-01,0.05887774900219207
2020-04-01,-0.3828764050620688
2020-07-01,0.3312252421566006
2020-10-01,-0.025892093941891733
2021-01-01,0.174596801998096
2021-04-01,0.05765989785318868
2021-07-01,0.0071100102758077394
2021-10-01,0.011777898281944862
2022-01-01,0.05583231847626759
2022-04-01,-0.053024404162230296
2022-07-01,-0.09430471579449076
2022-10-01,-0.2160905340129799
2023-01-01,0.16772898447055573
2023-04-01,0.08003032042523751
