DATE,Quaterly returns
2004-07-01,0.005638316670919963
2004-10-01,0.021269619444005627
2005-01-01,0.008046557916145503
2005-04-01,0.020988476653203136
2005-07-01,0.009443781896221637
2005-10-01,0.013675455744259324
2006-01-01,0.012483902907062472
2006-04-01,0.015850768766068057
2006-07-01,0.010415815047380761
2006-10-01,0.005281498837895526
2007-01-01,0.011207004650708896
2007-04-01,0.024272769230613278
2007-07-01,0.0075173684625546855
2007-10-01,0.007216440392301848
2008-01-01,0.013933950958643138
2008-04-01,0.008348943639326478
2008-07-01,-0.0022750808650897625
2008-10-01,-0.011995048060457592
2009-01-01,-0.021644449332281823
2009-04-01,-0.00045260396762358823
2009-07-01,0.005314852265975389
2009-10-01,-0.0045106517620929765
2010-01-01,0.02359788064539714
2010-04-01,0.013037163727469547
2010-07-01,0.007170643131972909
2010-10-01,0.006733849534899861
2011-01-01,0.018991348011827114
2011-04-01,-0.005721223975237777
2011-07-01,0.008891737271095934
2011-10-01,0.00812459884608252
2012-01-01,0.012464815055501788
2012-04-01,0.0007131836891449694
2012-07-01,0.013856268348874323
2012-10-01,0.004930542717552555
2013-01-01,0.011561592104619933
2013-04-01,0.009495906136507415
2013-07-01,0.014464736322521432
2013-10-01,0.007816016925755065
2014-01-01,0.012621014779877981
2014-04-01,0.007881659925512707
2014-07-01,0.018964809276001304
2014-10-01,0.00423796855763392
2015-01-01,0.004826918439773564
2015-04-01,0.0038767235198537975
2015-07-01,0.006906695432434162
2015-10-01,0.011109486977590066
2016-01-01,0.009198239987449952
2016-04-01,0.008561858027857028
2016-07-01,0.01349117729698257
2016-10-01,0.013242598584231047
2017-01-01,0.012929433481014385
2017-04-01,0.0070558348976952345
2017-07-01,0.007035177805642334
2017-10-01,0.016276426386831133
2018-01-01,0.0028161121229324237
2018-04-01,0.008139712793100884
2018-07-01,0.008394341173419306
2018-10-01,0.009552047421419019
2019-01-01,0.007466913776708495
2019-04-01,0.011858912100167984
2019-07-01,0.012231792084051563
2019-10-01,0.005314660398688886
2020-01-01,-0.01713103229543833
2020-04-01,-0.1562039845607952
2020-07-01,0.11488772244047851
2020-10-01,0.009373768935867943
2021-01-01,-0.001266826954077871
2021-04-01,0.05404159052151414
2021-07-01,0.023698834780958578
2021-10-01,0.025749610545734214
2022-01-01,0.020146829348151485
2022-04-01,0.02144004752815576
2022-07-01,0.01379484172726464
2022-10-01,0.022018513040217513
2023-01-01,0.02093367412922298
2023-04-01,0.025169352950310753
