DATE,Quaterly returns
2004-07-01,0.026374695560333748
2004-10-01,-0.01524790437493143
2005-01-01,0.06310518407954227
2005-04-01,0.018047319148432064
2005-07-01,0.01576464886419336
2005-10-01,0.04299573133688518
2006-01-01,0.07171874806459724
2006-04-01,0.07448684188383854
2006-07-01,-0.04766460815831727
2006-10-01,0.0555502884613088
2007-01-01,0.11276713494642664
2007-04-01,0.0775229495959477
2007-07-01,-0.016798901169259427
2007-10-01,-0.05334960828241265
2008-01-01,-0.05372947051850747
2008-04-01,-0.08553767141462297
2008-07-01,-0.1339689704601209
2008-10-01,-0.09245818229636096
2009-01-01,-0.19707848319355753
2009-04-01,-0.06282353838191809
2009-07-01,0.1576502130169145
2009-10-01,0.2206656162130291
2010-01-01,0.04839678937832151
2010-04-01,0.0663789138051075
2010-07-01,-0.08757264673209829
2010-10-01,0.12291115322070537
2011-01-01,0.06970659736590816
2011-04-01,0.0190269426767065
2011-07-01,0.036112870407974465
2011-10-01,-0.15909406030530104
2012-01-01,0.05158118433698414
2012-04-01,0.10857008731095863
2012-07-01,-0.029477908679178638
2012-10-01,0.06028571971404044
2013-01-01,0.07025151699688102
2013-04-01,0.12089009342853643
2013-07-01,0.005700056074748017
2013-10-01,0.06151563177538501
2014-01-01,0.047415354441595295
2014-04-01,0.024048732181880934
2014-07-01,-0.005068634173952716
2014-10-01,-0.01728186559328974
2015-01-01,0.04536864938972531
2015-04-01,0.047832906693791824
2015-07-01,0.0035696519853165506
2015-10-01,-0.05646432439485139
2016-01-01,0.0055092405988964805
2016-04-01,-0.005948476524217613
2016-07-01,0.013865112001827199
2016-10-01,0.07755235121870001
2017-01-01,0.020283397215510927
2017-04-01,0.050778557368559886
2017-07-01,0.0028591360521294904
2017-10-01,0.02965567522468616
2018-01-01,0.014779695034750778
2018-04-01,-0.06607843191331539
2018-07-01,0.08342860946689831
2018-10-01,-0.03696904616805084
2019-01-01,-0.12257970604858362
2019-04-01,0.09946968325388607
2019-07-01,0.014566174379014325
2019-10-01,0.017944477332242893
2020-01-01,0.06581022110796234
2020-04-01,-0.39363959936406645
2020-07-01,0.11633734531232039
2020-10-01,-0.026743807995100132
2021-01-01,0.15217054798446078
2021-04-01,0.054663944750974025
2021-07-01,0.0338004794989388
2021-10-01,0.012573197473844945
2022-01-01,0.06142782508642751
2022-04-01,-0.05821917401272579
2022-07-01,-0.10342255262329499
2022-10-01,-0.08241930085100979
2023-01-01,0.10838801176841016
2023-04-01,0.07940590653661293
